                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6466,                 6.2458,                 1.4094,                0.22918,                0.59416,                0.28971,                0.21893,                 1.0813,                 7.0812,                0.96915,              0.0001375,              0.0001375,              0.0001375
                      2,                 1.3195,                 2.7642,                 1.1991,                0.25041,                   0.55,                0.39631,                 0.2509,                 1.2351,                 4.3613,                0.97371,             0.00028181,             0.00028181,             0.00028181
                      3,                 1.3105,                 2.1391,                 1.1409,                0.57864,                    0.3,                0.36081,                0.27669,                 1.4035,                 4.0717,                 1.1346,             0.00042017,             0.00042017,             0.00042017
                      4,                 1.5158,                 1.9936,                 1.2969,                0.73266,                0.33786,                0.42977,                 0.2127,                 1.7456,                 3.4959,                 1.1735,              0.0005526,              0.0005526,              0.0005526
                      5,                 1.4846,                 1.9323,                 1.3125,                0.49701,                0.42338,                0.49024,                0.35646,                 1.3743,                 4.1585,                 1.0529,             0.00067909,             0.00067909,             0.00067909
                      6,                 1.5645,                 1.9295,                 1.3115,                0.54738,                    0.4,                0.56468,                0.36809,                 1.3257,                 2.5414,                 1.1043,             0.00079964,             0.00079964,             0.00079964
                      7,                 1.5287,                 1.8004,                 1.2729,                0.67523,                0.35704,                0.52802,                0.33423,                 1.5297,                 5.7294,                 1.2843,             0.00091425,             0.00091425,             0.00091425
                      8,                 1.5194,                 1.6958,                 1.3141,                0.39221,                0.50277,                0.45738,                0.23379,                 1.5668,                 16.198,                 1.2888,              0.0010229,              0.0010229,              0.0010229
                      9,                 1.3727,                 1.6581,                 1.2526,                0.53867,                0.18597,                0.34229,                0.21303,                 1.4214,                 19.222,                 1.1217,               0.001052,               0.001052,               0.001052
                     10,                 1.5174,                 1.4975,                 1.2579,                0.42517,                 0.3923,                0.35974,                0.17697,                   1.69,                 15.726,                 1.3125,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.4683,                 1.4072,                 1.2852,                0.60965,                0.49327,                0.54198,                0.39597,                 1.3724,                 2.2845,                 1.1403,              0.0010025,              0.0010025,              0.0010025
